id,length,aliphatic_index,ivywrel_fraction,gravy,charged_fraction,log_acidic_basic_ratio,aromatic_fraction
A0A009I6Z7,513,117.34892787524367,0.4152046783625731,0.696101364522417,0.13060428849902533,-0.13966199342900631,0.12475633528265107
A0A010ZWH3,388,90.38659793814432,0.35567010309278346,-0.01469072164948465,0.19329896907216496,0.10198953853733139,0.05154639175257732
A0A014MNM1,692,82.16763005780345,0.37427745664739887,-0.25563583815028906,0.21965317919075145,0.17139613784730146,0.07658959537572255
A0A015LE71,388,85.69587628865979,0.42783505154639184,-0.718298969072165,0.2912371134020619,0.037788560889399844,0.13402061855670103
A0A021XFH9,452,63.62831858407078,0.3185840707964602,-0.25796460176991165,0.1902654867256637,0.13936845203094142,0.10398230088495575
A0A022Q2M2,356,104.2134831460674,0.4438202247191011,-0.026123595505618102,0.2443820224719101,0.08813608870055131,0.0702247191011236
A0A023B014,696,96.45114942528737,0.40086206896551724,0.038649425287356126,0.1882183908045977,-0.045757490560675115,0.09482758620689655
A0A023BDM3,501,74.51097804391217,0.36926147704590817,-0.5834331337325347,0.27944111776447106,-0.048986460690873625,0.06986027944111776
A0A023FXY9,762,93.00524934383202,0.37532808398950135,-0.10091863517060357,0.24803149606299213,-0.06835455255500354,0.06561679790026247
A0A024GCF1,789,63.472750316856775,0.33586818757921416,-0.9475285171102664,0.29404309252217997,-0.13469857389745624,0.058301647655259824
A0A024QGJ4,411,87.20194647201947,0.44282238442822386,-0.52676399026764,0.27007299270072993,0.22800905832117488,0.0948905109489051
A0A024UN77,326,77.42331288343559,0.3128834355828221,0.12147239263803683,0.1503067484662577,-0.017033339298780346,0.06748466257668712
A0A051TRG8,395,86.78481012658227,0.3924050632911392,-0.1873417721518988,0.22531645569620257,0.12493873660830007,0.08607594936708861
A0A058ZRU8,655,91.64885496183206,0.39083969465648855,-0.12076335877862593,0.19083969465648856,0.02052166714460168,0.09465648854961832
A0A059DP69,782,82.10997442455242,0.36572890025575444,-0.18516624040920726,0.20971867007672632,0.06289928147243093,0.06777493606138107
A0A059FUM1,500,98.02,0.406,-0.05319999999999997,0.246,0.06264680913788914,0.054
A0A059IXJ1,558,61.52329749103942,0.3207885304659498,-0.6526881720430107,0.23297491039426524,0.10580372616803888,0.06093189964157706
A0A059KWG0,300,103.73333333333332,0.44000000000000006,-0.14800000000000008,0.24,0.04699656267622367,0.07
A0A060BQX6,774,84.328165374677,0.375968992248062,-0.27467700258397915,0.2248062015503876,-0.09913147300201453,0.10723514211886304
A0A060N7D1,459,131.35076252723312,0.4335511982570806,0.8289760348583876,0.07625272331154684,-0.3187587626244127,0.10457516339869281
A0A060NJ14,461,97.2234273318872,0.3665943600867679,-0.024078091106290667,0.25813449023861174,-0.10823304310544726,0.03470715835140998
A0A060QLI4,434,103.5483870967742,0.42396313364055305,-0.022811059907833997,0.24423963133640553,0.09691001300805634,0.041474654377880185
A0A060X6V2,512,63.8671875,0.3125,-0.5757812500000001,0.2109375,0.047424649928138135,0.048828125
