protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,0.7461,5.0182;4.8739;4.8549;1.0278;0.7461;5.0898;5.1572;1.1142
s42_n400,0.9260,1.1050;1.0338;0.9260;1.2556;1.1227;0.9953;0.9448;1.0746
s43_n300,0.8361,1.0910;1.1285;0.8361;1.2123;1.0733;1.4237;1.2002;1.4881
s43_n400,1.1853,9.5784;1.1853;1.4769;1.4673;2.2705;3.6494;1.5360;2.0335
s44_n300,0.6204,0.7825;1.3841;3.2927;1.2756;0.6277;0.6204;0.8168;0.6492
s44_n400,1.5320,1.8913;1.5320;2.1955;1.7833;1.7703;1.7146;1.5728;2.1676
s45_n300,0.8751,1.0734;4.6102;0.8792;1.0773;0.8751;1.7921;1.4507;1.4867
s45_n400,0.7767,0.8611;0.7767;1.1727;1.2683;1.1811;1.8158;1.1477;1.1012
s46_n300,0.7858,0.9253;0.8909;1.2103;2.7884;0.7858;2.4033;1.6322;2.9419
s46_n400,5.0359,6.7042;6.1793;5.0359;5.1751;5.7871;6.4607;5.5210;6.7806
s47_n300,0.5722,0.7871;0.8140;0.7857;0.5722;0.7296;0.8597;0.8591;0.7791
s47_n400,0.8747,1.1274;1.5037;0.8747;1.8903;1.2699;1.2356;1.0896;1.1592
