protein_id,coScRMSD_ca
s42_n300,5.5028
s42_n400,11.6284
s42_n500,8.0041
s43_n300,3.3171
s43_n400,9.1569
s43_n500,12.8655
s44_n300,32.2526
s44_n400,3.0368
s44_n500,3.4835
s45_n300,15.3776
s45_n400,8.3603
s45_n500,20.9247
s46_n300,4.8566
s46_n400,6.1878
s46_n500,17.4762
s47_n300,4.6153
s47_n400,2.8933
s47_n500,13.3016
s48_n300,30.3376
s48_n400,22.6338
s48_n500,13.4241
s49_n300,2.4881
s49_n400,3.1477
s49_n500,28.2739
s50_n300,5.0029
s50_n400,11.4983
s50_n500,22.2783
s51_n300,2.4448
s51_n400,24.4502
s51_n500,6.7490
s52_n300,7.0842
s52_n400,25.7208
s52_n500,17.8170
s53_n300,3.7118
s53_n400,28.0855
s53_n500,10.4460
s54_n300,3.6731
s54_n400,9.4056
s54_n500,21.7001
s55_n300,3.5837
s55_n400,2.6416
s55_n500,27.2558
s56_n300,25.4348
s56_n400,17.2940
s56_n500,18.0198
s57_n300,13.5225
s57_n400,16.9299
s57_n500,32.9530
