protein_id,coScRMSD_ca
s42_n300,5.2883
s42_n400,2.0721
s42_n500,2.5828
s43_n300,2.1796
s43_n400,2.4530
s43_n500,2.1975
s44_n300,0.8605
s44_n400,3.0170
s44_n500,1.6735
s45_n300,1.0171
s45_n400,0.7134
s45_n500,20.0203
s46_n300,0.8346
s46_n400,3.7642
s46_n500,15.4703
s47_n300,0.8704
s47_n400,1.3256
s47_n500,5.3232
s48_n300,1.6985
s48_n400,3.3890
s48_n500,8.9452
s49_n300,1.5349
s49_n400,2.8176
s49_n500,0.8481
s50_n300,1.4827
s50_n400,6.5091
s50_n500,26.3136
s51_n300,0.6927
s51_n400,2.1054
s51_n500,5.6072
