protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,0.9705,2.0747;4.8026;1.1414;4.9815;4.5786;4.0909;4.3204;0.9705
s42_n400,1.1863,1.4473;2.3114;1.3381;1.8545;1.4095;1.1863;1.6750;1.4735
s43_n300,0.7999,0.7999;1.4475;1.4671;1.4610;1.2102;1.4120;1.3011;1.1566
s43_n400,0.9494,10.8224;10.6667;4.2496;0.9494;2.1053;2.9084;1.6020;10.5859
s44_n300,1.0021,1.6598;1.0021;1.0822;1.1220;1.4268;1.2686;1.1748;1.4016
s44_n400,1.6671,1.9749;1.9753;2.1215;1.6671;1.8669;2.2135;2.3537;2.3720
s45_n300,2.3190,4.5093;6.6505;4.8412;3.9343;2.3190;2.7416;2.4130;5.6723
s45_n400,1.2210,1.8021;1.2210;1.2800;1.9875;1.8512;1.4195;1.7737;1.6769
s46_n300,0.8732,1.1790;0.8988;1.8963;1.8689;1.8089;1.6410;0.8732;1.3465
s46_n400,3.8190,5.6280;4.9716;5.1566;5.2911;5.3856;3.8190;5.1444;4.9620
s47_n300,0.6576,0.6576;1.7727;0.8767;1.0688;0.7595;1.4262;1.6352;0.8943
s47_n400,1.1747,1.5085;1.5552;1.2615;1.1747;1.3398;2.2280;1.2333;1.3513
s48_n300,4.2116,4.3095;4.2116;10.2283;14.2524;5.1781;12.6873;12.0644;8.7979
s48_n400,1.2441,1.2441;3.2976;12.3496;3.2913;5.3079;2.1450;6.5562;3.9731
s49_n300,1.3559,1.8739;1.3559;1.8408;1.5512;1.7742;1.5334;1.4242;1.6061
s49_n400,1.1892,1.5760;1.3671;1.1892;1.2944;3.2357;1.2241;1.7036;1.3101
s50_n300,1.2803,1.8781;1.8901;1.7067;1.6778;1.5752;1.4969;2.6753;1.2803
s50_n400,5.9968,8.1993;6.6015;13.0093;11.9387;11.2500;11.7510;6.0028;5.9968
s51_n300,0.8313,0.9566;1.2082;0.8604;1.0954;0.9945;1.1256;1.1887;0.8313
s51_n400,1.1833,1.3599;1.3557;1.3255;1.7341;1.3863;1.7272;1.1833;1.8135
s52_n300,1.0719,1.4667;1.0719;2.0133;1.4788;1.1156;1.2576;2.1929;1.2877
s52_n400,1.1289,1.3611;1.1665;1.2579;1.2550;1.4153;1.1289;1.2527;1.6685
s53_n300,1.1854,2.6473;1.4257;2.8450;2.4474;2.7100;2.6396;1.1854;2.5889
s53_n400,0.9692,1.0287;1.4857;1.6031;3.9165;1.4154;1.1390;0.9692;1.2063
s54_n300,1.4824,1.5504;1.6244;1.4824;1.6635;1.8340;1.6008;1.9565;1.8673
s54_n400,2.2646,3.7065;3.7809;3.4160;3.4239;3.7045;2.2646;2.2862;5.9572
s55_n300,0.8009,0.8886;0.8537;1.1034;0.8692;0.8545;0.8009;0.9400;1.0358
s55_n400,1.3708,1.8034;1.3708;1.7419;1.7044;2.1017;2.1495;1.8371;1.4611
s56_n300,1.5600,1.9376;2.0586;1.6666;1.9327;1.9212;2.1405;1.8827;1.5600
s56_n400,8.9995,11.8612;13.3629;11.6122;17.1112;14.9356;10.8401;9.6033;8.9995
s57_n300,0.9386,1.4603;1.9602;1.2288;0.9386;1.4389;1.0724;1.9754;1.3456
s57_n400,4.6373,5.5715;7.4039;7.9710;5.9719;4.6373;7.0277;5.9646;5.3684
