protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7972186666666667,197.798,16,-9.842976709170056,5.2626314163208,0.4628028234404339,0.43666666666666665,3.5648893674787625,2808.6829794613654,8,9.113661076450231,30.849486531810577,-41.33662581531709,18.066675186157227,2.839523
s42_n400,400,0.8097845000000001,435.805,31,-23.685428758871375,4.91807346343994,0.48215549727371626,0.37,3.440645345160664,2661.5336053468227,11,6.11717963586538,39.54912860297276,-73.16420149346067,20.911500930786133,3.416701
s42_n500,500,0.7986416000000001,390.799,69,14.95828365392282,9.273213005065916,0.42731580487670673,0.212,3.4063376284798528,2528.419681847366,7,6.621980157877783,71.4781997923962,-41.653657350650136,22.06928825378418,2.878784
s43_n300,300,0.7947443333333334,125.363,290,-5.272430618902568,5.840683937072753,0.4571791950956636,0.3233333333333333,3.4899116577339706,2210.5026261220037,5,10.66237274135127,32.8917416366684,-31.94836150783387,17.688825607299805,3.282718
s43_n400,400,0.8077845,298.223,516,-3.205052289270867,5.951008415222168,0.33111827511196096,0.05,3.275809891375837,2666.3601823518793,10,6.552940958177916,57.36953292072116,-59.08853397709515,23.219985961914062,3.420487
s43_n500,500,0.7950052,386.635,104,2.8262730891210737,8.36079196929932,0.45686252218993195,0.326,3.534631568120661,1901.2048053125943,4,12.092851182501807,64.33072025772074,-57.13258204295876,21.866979598999023,4.161003
s44_n300,300,0.7815860000000001,310.575,795,17.766190340665062,9.794762229919431,0.2717946527082272,0.043333333333333335,2.905857497069541,1909.168353609685,3,4.296412186461992,39.32709449163759,-18.13464759164084,18.398883819580078,1.658667
s44_n400,400,0.7726824999999999,993.198,1502,-5.2054205215462765,4.777169609069825,0.44109327513346586,0.3275,3.4209251206006135,2033.7613816953701,2,10.37441940471219,10.281498005046585,-6.951924065079006,19.4560546875,-0.367008
s44_n500,500,0.8072464,662.545,14,15.913342558143924,9.282496452331543,0.41276680190242043,0.154,3.525828987904424,1892.564894286632,2,6.054235021341592,90.32882720445247,-39.297976314263316,23.695676803588867,3.084175
s45_n300,300,0.7932100000000001,258.828,36,-22.24157517682964,4.99992160797119,0.3340826627916642,0.09666666666666666,3.442773416143218,1281.2293859092651,5,5.235505788060214,27.377015627417876,-59.43134871890973,17.30563735961914,3.332521
s45_n400,400,0.80932525,364.992,0,-20.456900093845917,5.774864387512206,0.6384719350045195,0.8425,3.5460287922527813,1546.3897464242816,3,4.467624143461485,44.68743413842968,-72.30520513398446,19.20017433166504,4.663671
s45_n500,500,0.8076935999999999,653.379,579,-9.499901491977326,6.079976081848144,0.4161146907367218,0.256,3.793168507993764,2942.328248627482,5,8.575409913303535,82.51460359146137,-81.47796841763811,24.027925491333008,3.777279
s46_n300,300,0.8094486666666666,216.38,105,-25.273572378116384,4.756934928894043,0.5520734861531966,0.6666666666666666,3.5690248034401746,2048.9971112615885,7,6.788160809029708,21.563483665205087,-58.664166206758644,17.877239227294922,3.111203
s46_n400,400,0.7654380000000001,1426.5,969,-13.487873569232441,4.352752876281738,0.2342510798666676,0.0,3.5988467732450076,5589.107844471795,26,16.630670486295585,12.966196443955806,-14.692557143873563,19.8388671875,0.649134
s46_n500,500,0.8007856,491.585,471,7.645333660524507,9.234403038024901,0.5736651103129267,0.758,3.5075496203283953,1821.567471473685,7,4.217233312139604,51.69273964724145,-49.94443500521159,23.82620620727539,1.846586
s47_n300,300,0.8035243333333334,246.934,796,-0.7044117720841854,6.744196510314942,0.5405063735391261,0.6366666666666667,3.364398264267367,1607.0825166840243,5,5.484197457336311,45.86963240190638,-29.621671945605396,17.292287826538086,4.036709
s47_n400,400,0.8124760000000001,307.186,3,0.1531333510491919,7.037258338928221,0.6092988164885778,0.74,3.2726242690306395,578.2975686540137,1,1.6004302586290717,106.52194472658931,-75.98795342077568,20.702957153320312,6.602693
s47_n500,500,0.7883736,407.494,61,6.670699257829463,9.933240318298338,0.58052791690331,0.776,1.7074587495715172,1219.7982062501587,4,2.107524476335263,21.35553079534623,-4.434382162827612,23.324726104736328,-0.083116
s48_n300,300,0.8047979999999999,200.593,1076,-12.794614830182567,5.75036678314209,0.44569398898313184,0.34,3.5153580202233483,996.8541293095348,2,2.535032705742302,44.51752450153808,-60.8148923246665,18.05120849609375,4.226198
s48_n400,400,0.8094170000000002,405.61,341,-51.26196346341333,4.449322319030761,0.4021024110158325,0.26,3.5185823750821044,2282.7828733838664,5,5.339651121860984,23.817568065865537,-103.94410495182888,20.524028778076172,3.355743
s48_n500,500,0.7945466000000001,528.214,2000,55.34187537631755,9.98436374664307,0.3792233110417471,0.194,3.366995499685526,2764.9375376206444,6,10.785225150482951,137.39607144729433,-13.97887703189273,21.51243782043457,2.316305
s49_n300,300,0.7779183333333334,486.184,22,9.019122351276812,9.992744636535647,0.6456923021445569,0.88,3.4500071508510395,2039.8689231692902,7,6.885886197224018,13.411166085107409,-8.764213038433903,17.38823890686035,1.914038
s49_n400,400,0.78391875,397.384,438,-3.117549166659977,5.942482566833497,0.3532533660794448,0.1625,3.8134080240063066,4171.557349996373,11,12.942013745060212,49.299401098637446,-37.181809221872676,20.287872314453125,2.012460
s49_n500,500,0.8105422000000001,295.882,104,-33.56046274239961,4.987303352355956,0.15218182212971704,0.0,2.6867978233465823,1548.0015415520145,1,3.074847781148711,67.8557021103468,-110.624548725675,23.26886558532715,3.695674
s50_n300,300,0.7932116666666666,247.423,399,-10.920820205874385,5.081712913513182,0.4572934314029229,0.36666666666666664,3.7470225934705086,2452.7747352989772,8,9.593886942820651,29.4828130618925,-35.36255483692773,17.893325805664062,2.465988
s50_n400,400,0.8089372499999999,339.631,66,-34.60889453400721,5.464352989196779,0.6515441541288958,0.92,3.531526329651068,1639.5661851735304,3,4.259204580950724,28.546340560196228,-90.42977675803722,20.79335594177246,4.145836
s50_n500,500,0.7927759999999998,300.811,1278,14.870864223196868,11.097023582458494,0.36369930671169615,0.018,2.501543205217313,8295.868641336023,24,50.84241657152482,21.32179317436505,-0.9686208968359821,20.625505447387695,2.291079
s51_n300,300,0.7988643333333333,140.495,11,4.021096452290095,9.728746604919433,0.4795358867724165,0.44666666666666666,3.3924433950745176,1753.331459500937,3,6.920380548630936,45.10268288143529,-29.207324124679474,17.473966598510742,3.930850
