protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,1.1004,3.6357;4.4387;3.4515;4.9984;1.9673;1.1004;4.6362;4.8509
s42_n400,1.0091,1.2855;1.0199;1.5165;1.2405;1.0091;1.2474;1.3491;1.5496
s43_n300,0.8456,1.0675;0.8456;1.9673;1.1825;1.2631;1.7584;1.4352;1.6799
s43_n400,1.1012,1.9275;1.1012;1.2550;2.0088;5.8019;5.1321;1.5278;2.6216
s44_n300,1.0285,1.3852;3.8460;1.3116;1.0285;1.2162;1.2994;1.5595;1.3246
s44_n400,1.8350,2.3075;2.5661;3.0980;3.3435;1.8350;2.7345;2.3782;2.1356
s45_n300,0.5735,0.9202;1.4739;0.7367;0.7466;0.5735;0.7278;0.8319;0.7431
s45_n400,0.8321,0.8321;0.8950;0.8542;1.5667;1.0760;1.1272;1.8744;1.3524
s46_n300,0.7329,0.8300;1.0304;0.7998;0.7329;0.9833;0.9990;0.9227;0.9696
s46_n400,4.9911,6.6696;5.3043;4.9911;5.1513;6.5740;5.0121;6.3762;6.8317
s47_n300,0.7253,0.7360;1.6223;0.9522;0.8843;0.8892;0.7253;0.8833;1.4231
s47_n400,0.8863,1.0811;0.8984;0.8863;1.0258;1.1568;0.9874;1.0452;1.0652
