protein_id,coScRMSD_ca
s42_n300,5.3623
s42_n400,0.7096
s42_n500,7.3659
s43_n300,1.3666
s43_n400,2.7077
s43_n500,1.8640
s44_n300,0.8780
s44_n400,3.0466
s44_n500,1.7928
s45_n300,3.9800
s45_n400,0.9221
s45_n500,20.0293
s46_n300,1.0488
s46_n400,3.8037
s46_n500,15.5199
s47_n300,0.6770
s47_n400,1.6274
s47_n500,4.8961
s48_n300,2.9543
s48_n400,2.3695
s48_n500,5.0289
s49_n300,1.5078
s49_n400,2.8118
s49_n500,1.0225
s50_n300,1.8787
s50_n400,11.2057
s50_n500,27.1416
s51_n300,1.4044
s51_n400,15.2904
s51_n500,4.9172
s52_n300,0.9620
s52_n400,1.0853
s52_n500,11.4357
s53_n300,1.0212
s53_n400,0.8009
s53_n500,3.2286
s54_n300,0.5346
s54_n400,2.4424
s54_n500,24.6350
s55_n300,1.3045
s55_n400,1.1464
s55_n500,0.6336
s56_n300,0.9636
s56_n400,5.5063
s56_n500,12.3698
s57_n300,2.1240
s57_n400,18.5912
s57_n500,17.6344
