protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,0.7883,0.7883;0.8332;4.8032;4.2632;4.0387;1.0713;1.0570;4.7729
s42_n400,0.8173,1.3189;1.0226;0.9676;0.9452;1.0731;0.8173;0.8365;1.1947
s43_n300,1.1729,1.6979;1.4932;1.1729;1.2052;2.3623;1.6075;1.6161;2.1148
s43_n400,1.5711,1.6221;2.4613;1.8793;1.7561;1.5711;2.8490;2.8285;1.7921
s44_n300,0.6805,0.9256;1.2936;0.7945;0.9615;0.8378;0.7907;0.8273;0.6805
s44_n400,1.6721,2.1183;2.0886;2.2963;1.7864;3.7255;2.0194;2.0568;1.6721
s45_n300,0.6843,1.0406;1.2138;0.9273;1.0100;0.7534;4.2955;0.6843;0.9397
s45_n400,0.8322,0.8322;1.0816;1.6041;1.1153;1.3844;1.7088;1.2370;1.5235
s46_n300,0.8162,0.9231;1.8900;1.0854;0.8162;1.1479;0.9828;1.0991;0.8700
s46_n400,1.5647,5.1645;5.0630;5.1984;4.4138;6.9214;1.5647;5.3401;4.9449
s47_n300,0.5694,0.7444;0.8592;0.5819;1.0478;0.6935;0.8702;0.5694;0.8219
s47_n400,0.8066,1.0416;0.8066;0.9881;1.0301;0.9587;1.0231;0.9918;0.8523
