id,length,aliphatic_index,ivywrel_fraction,gravy,charged_fraction,log_acidic_basic_ratio,aromatic_fraction
1h6u_A,308,111.75324675324676,0.3279220779220779,0.0993506493506493,0.1103896103896104,0.19629464514396822,0.048701298701298704
1h7n_A,342,93.62573099415204,0.391812865497076,-0.08596491228070183,0.2309941520467836,0.07525095241919247,0.08771929824561403
1eb3_A,340,94.17647058823529,0.39117647058823535,-0.06588235294117656,0.22941176470588237,0.06526673151259141,0.08823529411764705
1gjp_A,340,94.17647058823529,0.39117647058823535,-0.06588235294117656,0.22941176470588237,0.06526673151259141,0.08823529411764705
1h7o_A,341,93.90029325513197,0.39296187683284456,-0.07595307917888575,0.23167155425219943,0.07525095241919247,0.08797653958944282
1h7p_A,342,93.62573099415204,0.391812865497076,-0.08596491228070183,0.2309941520467836,0.07525095241919247,0.08771929824561403
1h7r_A,342,93.62573099415204,0.391812865497076,-0.08596491228070183,0.2309941520467836,0.07525095241919247,0.08771929824561403
1ohl_A,342,93.62573099415204,0.391812865497076,-0.08596491228070183,0.2309941520467836,0.07525095241919247,0.08771929824561403
1w31_A,342,93.62573099415204,0.391812865497076,-0.08596491228070183,0.2309941520467836,0.07525095241919247,0.08771929824561403
1h7s_A,365,89.91780821917808,0.3726027397260274,-0.17178082191780825,0.2136986301369863,0.0,0.0684931506849315
1h7s_B,365,89.91780821917808,0.3726027397260274,-0.17178082191780825,0.2136986301369863,0.0,0.0684931506849315
7rcb_A,365,89.91780821917808,0.3726027397260274,-0.16438356164383566,0.2136986301369863,0.0,0.0684931506849315
7rcb_B,365,89.91780821917808,0.3726027397260274,-0.16438356164383566,0.2136986301369863,0.0,0.0684931506849315
1h80_A,464,73.08189655172413,0.334051724137931,-0.4961206896551725,0.23060344827586207,-0.05585781746500093,0.10129310344827586
1h80_B,464,73.08189655172413,0.334051724137931,-0.4961206896551725,0.23060344827586207,-0.05585781746500093,0.10129310344827586
1ktw_A,464,73.08189655172413,0.334051724137931,-0.4961206896551725,0.23060344827586207,-0.05585781746500093,0.10129310344827586
1ktw_B,464,73.08189655172413,0.334051724137931,-0.4961206896551725,0.23060344827586207,-0.05585781746500093,0.10129310344827586
1h8e_A,510,99.45098039215686,0.40784313725490196,-0.10705882352941176,0.24313725490196078,-0.013788284485633347,0.058823529411764705
1h8e_B,510,99.45098039215686,0.40784313725490196,-0.10705882352941176,0.24313725490196078,-0.013788284485633347,0.058823529411764705
1h8e_C,510,99.45098039215686,0.40784313725490196,-0.10705882352941176,0.24313725490196078,-0.013788284485633347,0.058823529411764705
2ck3_A,510,99.45098039215686,0.40784313725490196,-0.10705882352941176,0.24313725490196078,-0.013788284485633347,0.058823529411764705
