protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.8122233333333334,134.946,0,-6.128795007918335,5.471401023864746,0.6460530844059671,0.9333333333333333,3.328247222697415,2143.8965266451096,7,5.892974157808037,39.75170839071593,-42.39496707171569,18.048681259155273,4.521485
s42_n400,400,0.83643225,172.867,0,-9.119966299879025,5.4970922470092765,0.7138034573759481,0.9375,3.207094904475479,1228.345088936206,3,2.056425324461871,66.6591761491884,-74.88745958751944,20.926856994628906,7.084175
s42_n500,500,0.8180218000000001,286.032,5,0.1338789749839009,7.063290596008301,0.6009959046545515,0.728,3.2541514404289225,1707.0897333802232,4,2.544789194583965,81.39781784859309,-79.60369381003778,22.065797805786133,5.830993
s43_n300,300,0.8106776666666667,81.0102,20,-3.9483650419159204,5.646919822692872,0.6063925510605302,0.8833333333333333,3.160629838786975,1494.4515144927466,4,5.88257830694754,41.70381121948597,-40.34580966236396,17.678312301635742,4.975486
s43_n400,400,0.8328190000000001,159.556,32,-13.023396506088744,5.355961036682129,0.6001915034770717,0.875,3.097721456532873,1154.7986145328425,3,2.4863672485133343,60.140223822519594,-79.68974369404015,23.20730209350586,6.732563
s43_n500,500,0.8130788,157.434,242,0.5543084168197225,7.146616554260253,0.6666175569493221,0.924,3.1751716701650192,1503.2563334887955,2,8.69372746237153,67.43046866594936,-68.94572733455544,21.882463455200195,7.277388
s44_n300,300,0.8316796666666667,160.532,2,-0.25165767901019365,6.826158332824707,0.541067740277583,0.55,2.993867374770904,1137.695598635885,3,1.705420314482817,52.603064654564754,-54.75886507332422,18.40947151184082,6.473872
s44_n400,400,0.7999967499999999,193.873,0,-1.9159921145125054,5.993239784240722,0.8038373486345028,1.0,3.1788335246811275,1124.8905202051726,2,3.1990119176821006,31.946166727163956,-43.81143790689954,19.467348098754883,4.592217
s44_n500,500,0.831472,245.802,0,19.078609489540426,9.42709903717041,0.6835938620681756,0.986,3.0559919483277986,1378.9184271088661,3,3.752349338909623,102.66888183154009,-46.94346288033387,23.70439338684082,5.803909
s45_n300,300,0.8208886666666667,110.891,0,-11.709981922386802,5.4145620346069325,0.6705366271043912,0.92,3.089520027760815,420.1007240476597,1,1.8455667407918608,43.02030550890263,-51.16597267326871,17.301475524902344,6.557647
s45_n400,400,0.816199,276.129,3,-18.80086927038461,5.4661149978637695,0.6332942531227053,0.805,3.3615035115914127,1318.1673372300406,3,2.544225304723309,56.88239257141498,-70.07818053114356,19.2214412689209,6.620679
s45_n500,500,0.8255812,249.631,0,17.497840443413892,9.418073463439942,0.7539997737224824,1.0,3.488239174717718,1693.0781040699624,2,1.878453405301896,106.53814660589094,-75.04476872175775,24.024250030517578,7.155073
s46_n300,300,0.8199323333333334,81.2982,33,-14.096093140367337,5.018792152404784,0.6601146503627967,0.8666666666666667,3.1079540942135826,1671.902692835304,4,5.32605264515084,35.134466244177176,-60.08737716874962,17.896989822387695,5.624740
s46_n400,400,0.8116942500000001,140.221,226,-0.3841057911458279,6.651889991760254,0.7493808028147569,0.94,3.3612697985395625,4352.617965900874,17,14.880098532472466,52.7406505742734,-16.073557649415868,19.843393325805664,5.120697
s46_n500,500,0.8156908,328.334,0,10.963020979795374,9.43947696685791,0.5982418597351832,0.86,3.2792630687299305,951.4473575117855,2,0.6593943818766987,102.9412170310244,-93.01019164004072,23.820270538330078,5.934610
s47_n300,300,0.8136300000000001,79.1574,42,-2.2650352325237435,5.968060111999511,0.6257592538119043,0.91,3.0377314302135456,1099.1140355369255,4,2.3171879366229344,48.314218941494055,-43.33636239678022,17.315946578979492,6.098272
s47_n400,400,0.8231892500000001,184.097,0,-8.29872670447952,5.896101951599121,0.6973999790760476,1.0,3.1023810909962375,840.1931348720254,2,1.1147207224423112,114.05627571064646,-84.09178657236876,20.675168991088867,8.163393
s47_n500,500,0.8225707999999999,201.337,0,-1.3849717651146705,5.953225135803222,0.9391525240352534,1.0,1.8293131696425835,640.6118110816402,2,0.4717586948041142,47.31666586419811,-22.3948945882324,23.307815551757812,3.231233
s48_n300,300,0.8281040000000001,121.036,1,-25.54585533685546,5.190843772888182,0.667444945303794,0.8533333333333334,3.131170381111915,581.1122716550897,0,0.7516147413165741,41.5312736455285,-69.53533886341417,18.034780502319336,7.137857
s48_n400,400,0.8401314999999999,158.136,7,-47.74324215339851,5.015324974060058,0.7338578994576507,0.895,3.060854189274489,1327.5078380706732,3,3.1104253372469497,50.13274573904061,-108.11122679745408,20.529544830322266,7.991726
s48_n500,500,0.8417736,240.041,9,49.08598867998802,9.82177448272705,0.7643014087880305,0.986,2.992653625648857,1459.5986389729467,5,4.3617622015313495,145.58798494101484,-31.922031548530402,21.493755340576172,6.628025
s49_n300,300,0.8033383333333334,222.811,552,8.725711133738251,9.933304786682129,0.721392447467369,0.9666666666666667,3.193027383746041,2819.950146866393,12,8.85837442176458,21.40656825817372,-19.081225485420934,17.371131896972656,3.996094
s49_n400,400,0.80325,194.528,133,-10.19911492877938,5.175099372863768,0.5627522401516013,0.63,3.436979825330977,3674.0314116052705,13,11.642031882039209,47.70545203308746,-46.32439876126719,20.27928924560547,4.020335
s49_n500,500,0.8420014,203.49,21,-5.985113234970271,5.890986442565917,0.5460840037976546,0.56,2.819844654795706,938.0557125858732,1,2.05816428538866,98.67091888275027,-94.80614939199195,23.25892448425293,7.257988
s50_n300,300,0.8102509999999999,138.866,6,-7.228061431663264,5.284798622131347,0.5996504613687834,0.7733333333333333,3.400568579675659,2108.099353433523,6,6.742500002449032,37.06016900129438,-39.15429413167063,17.885480880737305,4.186640
s50_n400,400,0.813374,221.054,121,-11.514603727114249,5.548133659362793,0.6771917586146882,0.93,3.258213143426589,1551.1061747686304,4,3.4677182922936898,50.22404058317501,-80.19404180527901,20.802291870117188,6.633980
s50_n500,500,0.8152275999999999,81.7041,2,-14.136170166280763,4.7960401535034185,0.5842378983137299,0.868,2.5749256213065737,6101.51474109741,22,26.873290998038378,78.59596290086566,-128.56035631851194,20.601802825927734,5.211161
s51_n300,300,0.8131123333333333,94.3864,4,-3.940621390918082,5.610542869567872,0.6264239367266081,0.8566666666666667,3.13523481264604,1007.3596897974994,2,2.8249582388121848,50.72652965111319,-44.17922140516859,17.45157241821289,5.577148
s51_n400,400,0.8396687500000002,200.781,0,9.941726260371283,9.107658195495606,0.5975272082092046,0.8425,2.9533077177921876,795.0835484670391,1,1.863446000489398,77.55801746724461,-70.61202882617934,21.130966186523438,7.057705
s51_n500,500,0.8082168000000001,184.148,0,14.065660284858069,10.943266487121583,0.7250594708698855,0.926,3.1878598528625632,1465.2104435197034,4,4.095972505249702,77.66759016524094,-67.5128031672337,22.845224380493164,6.025275
s52_n300,300,0.8129366666666668,129.152,30,-12.349773801993528,5.023509788513183,0.6196400886452144,0.8466666666666667,3.1532165115070168,1663.2370069057872,5,4.33237904218973,36.62186626503843,-49.32686982888197,17.593412399291992,5.414047
s52_n400,400,0.8270055000000001,180.514,374,-9.144522095767826,5.44661922454834,0.6659623235921405,0.9525,3.3473568157674882,1777.3491545612953,6,3.5029010121108755,58.49274016888247,-80.78868941971078,20.652021408081055,6.393234
s52_n500,500,0.8197022,352.899,0,5.906511358153168,8.8666109085083,0.685037967904223,0.996,2.961336151294463,512.280277917616,1,0.45484973486847935,107.45632130589163,-74.90747547091331,23.24489402770996,5.104477
s53_n300,300,0.8199783333333333,100.27,12,-24.274504063096288,4.603355979919433,0.692651479611227,0.9666666666666667,3.191699489898631,1405.7197678428442,4,3.2185273105748933,30.223227066857564,-76.97040079784227,17.092613220214844,5.329210
s53_n400,400,0.8506687500000001,210.342,107,14.292472847144865,9.127578926086429,0.48926474470472703,0.42,2.738458084543017,694.7347975799262,0,1.3580916861482095,95.77707578110639,-63.88691278517064,20.589435577392578,7.597323
s53_n500,500,0.8157444,190.025,0,7.6556506724394,9.300289726257322,0.7546268350766341,1.0,2.853876954289957,962.6370779951046,2,1.171751590743419,53.52826396805237,-23.731565356267275,24.459144592285156,3.575915
s54_n300,300,0.8359013333333334,159.872,5,-2.898526106299556,6.204965019226075,0.6432998297476483,0.88,3.136900109017424,581.7440371091557,0,0.7064674251886601,49.31056497904187,-55.431970826516874,18.205516815185547,6.375578
s54_n400,400,0.8121639999999999,184.59,32,-11.596257659008202,5.520566749572752,0.6325848352313369,0.8625,3.2585022492797937,928.4224696065625,1,2.8089708305154786,64.19703645026982,-75.45451916917222,21.551725387573242,6.146423
s54_n500,500,0.8190952,207.468,0,-0.45915426526739367,6.418963813781737,0.8723187716182575,0.972,2.2086780109549946,1335.9686646089128,5,1.8181766399728674,27.39506157392372,-24.82467095020202,22.027517318725586,3.134478
s55_n300,300,0.806681,104.686,18,-2.3090201658198737,5.846936225891112,0.5700353607312008,0.65,3.211872734148791,2268.027551798956,8,7.659613137576938,34.43095522434106,-35.16085534027535,18.14455795288086,4.330913
s55_n400,400,0.8254372499999999,154.788,0,-0.8142337182169825,6.708274269104003,0.6901685971053948,0.9775,3.3910286928517435,1638.7018247986844,2,4.883657386036008,61.542069110489294,-61.62600801126905,21.198301315307617,6.082334
s55_n500,500,0.8267226000000001,334.324,14,-24.192909002934712,4.985427665710449,0.643734492757916,0.716,3.2199178824876196,1853.6942157241506,4,3.639508970742549,61.18298198117191,-100.9948580759957,21.760330200195312,5.717437
s56_n300,300,0.8339133333333334,91.064,0,-21.37711424433664,5.147930335998534,0.4729290439344406,0.31333333333333335,2.8009065203475,614.673510291427,1,0.27606571468285485,52.59086710676394,-70.32139004681488,19.054716110229492,8.653735
s56_n400,400,0.82464475,146.457,0,-14.95235386371671,5.223696708679198,0.720361230243762,1.0,2.7879035650371655,985.0424741069706,2,1.9983514493994436,57.41108998844091,-80.29114688909425,23.772510528564453,5.449180
s56_n500,500,0.8146108000000001,308.012,0,-19.998333424292852,5.1355394363403315,0.6235093849676409,0.896,3.091788510255508,848.1333790939129,1,1.6156009366156647,94.7935066687975,-127.05073491492828,23.636247634887695,5.970645
s57_n300,300,0.8329256666666668,119.451,0,-6.608998780814417,5.909686470031737,0.5432229161882013,0.5866666666666667,2.9289948257379894,519.0403862124314,1,1.0300892512800324,52.26227651008068,-54.380355521294575,18.111053466796875,6.707244
s57_n400,400,0.8140585,225.141,0,-6.0736602669488065,5.6376550674438475,0.5713278148995475,0.77,3.305852879353943,2235.0398590039504,10,5.941089528042067,55.833959357333626,-58.67905803983582,19.130704879760742,5.837131
s57_n500,500,0.8372958000000001,330.768,1,90.9328793527649,10.234952354431151,0.7643703987516877,0.992,2.639814413341268,1087.1192017013007,0,1.1905343080954798,218.79755000934406,-31.59343452870832,21.947275161743164,6.079066
