protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,38.8922,47.0427;38.8922;47.1616;44.3923;47.1770;46.3215;41.2528;47.5504
s42_n400,27.5367,36.1109;31.0945;39.1068;33.5624;31.1973;30.3843;27.5367;34.2850
s43_n300,41.4291,50.3720;56.5832;47.3419;47.9856;46.5273;46.4334;41.4291;41.5610
s43_n400,48.5898,48.5898;62.6666;51.7798;59.9749;59.1957;57.5160;54.4355;54.3917
s44_n300,41.1801,41.1801;55.1538;56.0937;53.8944;66.3498;42.5219;74.2964;56.2750
s44_n400,6.4432,6.9375;7.6419;11.0629;7.4591;6.9742;8.3631;6.4432;7.2986
s45_n300,40.2032,40.2032;45.2326;88.9304;83.0158;45.3851;121.0809;67.4809;51.3496
s45_n400,24.4021,24.4021;25.3900;31.6344;36.2681;25.1308;30.7488;32.7331;30.6581
s46_n300,38.0297,55.0344;39.7290;55.6753;38.0297;48.6284;63.1904;53.2930;45.3223
s46_n400,6.3642,9.2003;6.6032;6.8259;7.5908;6.3642;10.6036;7.0085;10.5982
s47_n300,47.4444,50.3438;55.6882;48.3512;47.4444;65.3967;72.8592;50.0504;50.5047
s47_n400,13.3180,17.8443;21.9055;18.1500;13.3180;20.1110;18.4219;18.6147;21.2475
