protein_id,coScRMSD_ca
s42_n300,5.2321
s42_n400,10.0814
s42_n500,8.3887
s43_n300,2.6693
s43_n400,5.3818
s43_n500,12.8969
s44_n300,22.6512
s44_n400,3.1179
s44_n500,1.8458
s45_n300,5.6279
s45_n400,3.0016
s45_n500,23.1689
s46_n300,1.2886
s46_n400,3.7793
s46_n500,16.7797
s47_n300,1.0631
s47_n400,12.3180
s47_n500,8.0058
s48_n300,19.0549
s48_n400,32.5854
s48_n500,12.8846
s49_n300,1.9516
s49_n400,2.1304
s49_n500,24.2598
s50_n300,2.1662
s50_n400,12.6759
s50_n500,30.6409
s51_n300,1.7036
s51_n400,13.8573
s51_n500,9.4315
s52_n300,1.6672
s52_n400,1.3814
s52_n500,11.0577
s53_n300,1.7964
s53_n400,23.4222
s53_n500,3.0494
s54_n300,9.5453
s54_n400,8.4761
s54_n500,20.8471
s55_n300,1.4212
s55_n400,1.8868
s55_n500,19.6586
s56_n300,31.6201
s56_n400,7.5628
s56_n500,19.1350
s57_n300,23.7263
s57_n400,19.3308
s57_n500,22.3725
