protein_id,coScRMSD_ca
s42_n300,5.3262
s42_n400,1.9855
s42_n500,8.5148
s43_n300,0.9808
s43_n400,2.4622
s43_n500,2.2152
s44_n300,0.8272
s44_n400,3.0178
s44_n500,1.6023
s45_n300,1.5072
s45_n400,1.1238
s45_n500,21.5140
s46_n300,0.9481
s46_n400,3.9974
s46_n500,15.6998
s47_n300,1.1680
s47_n400,1.4732
s47_n500,5.0678
s48_n300,2.9560
s48_n400,3.3780
s48_n500,6.0435
s49_n300,1.5443
s49_n400,2.8291
s49_n500,0.7827
s50_n300,1.6282
s50_n400,8.9240
s50_n500,26.0339
s51_n300,1.0449
s51_n400,2.1387
s51_n500,3.3033
s52_n300,0.7584
s52_n400,1.0772
s52_n500,11.7465
s53_n300,1.3263
s53_n400,0.7925
s53_n500,7.9715
s54_n300,0.5033
s54_n400,2.1266
s54_n500,24.9571
s55_n300,1.8060
s55_n400,1.0887
s55_n500,2.2778
s56_n300,0.9509
s56_n400,5.8693
s56_n500,13.0314
s57_n300,1.1715
s57_n400,13.2423
s57_n500,19.2279
