protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7884180000000001,594.395,661,-7.763166568622957,5.558819389343261,0.332710159414358,0.19,3.877535133079308,2636.3183854194226,6,9.075887901018758,33.04675960633024,-36.69485823889865,18.077346801757812,1.736347
s42_n400,400,0.8169545,1054.0,987,-31.20114639051566,4.643143272399903,0.33235351342936825,0.04,3.5582054214100545,2269.3913582230575,7,5.593306406112882,40.57984869254402,-80.16510473346591,20.9171142578125,2.282302
s42_n500,500,0.8082184,1011.34,408,-3.029897326418464,6.160914802551268,0.3563223434159666,0.082,3.65191617837826,2174.857945041939,4,6.258441601527024,65.51751883156285,-62.72238542901915,22.074060440063477,1.992273
s43_n300,300,0.784373,598.288,1030,-7.9349680028405984,5.386085700988769,0.3151988986188322,0.006666666666666667,3.871097488298499,2440.0204141057507,8,10.795236677461562,30.26748504242609,-31.91775578482965,17.694305419921875,1.159332
s43_n400,400,0.817303,1085.64,2897,0.6145898637651612,7.524652671813965,0.18054732178618832,0.0,3.4315129232325647,2212.3267755557367,7,5.30391095360116,72.15548444471541,-59.55100249513739,23.216413497924805,1.856100
s43_n500,500,0.7917502,563.513,686,-5.119403131788545,6.2152528762817365,0.4078763518116982,0.184,3.6635738496175914,1622.7632117905678,1,8.78285738249122,59.88103385927982,-59.65002429822148,21.85556983947754,3.227138
s44_n300,300,0.8028246666666666,733.853,691,-4.424960956060694,5.482655143737793,0.10987937842102195,0.0,3.207736880535986,1549.1416382854259,2,2.448186910748926,42.58466660745119,-47.9459529370392,18.397830963134766,1.423786
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2130.7467172975284,4,8.934534775278482,4.173089678314636,-7.391892482271286,19.454212188720703,-0.826263
s44_n500,500,0.810278,1559.48,61,7.716567054934572,8.785703086853026,0.33210773331824917,0.054,3.6630518142469883,1655.5906680245955,2,4.181360978417969,85.07611324934308,-46.032227741147736,23.68853759765625,1.981221
s45_n300,300,0.7951116666666667,559.765,496,-19.66774166892735,4.94382152557373,0.27130018328973077,0.02666666666666667,3.7209858699988834,986.4013630831334,2,4.0800029707734335,31.385916931376663,-58.2799936095048,17.29566192626953,2.732846
