protein_id,coScRMSD_ca
s42_n300,6.9251
s42_n400,2.8647
s42_n500,5.6072
s43_n300,3.9918
s43_n400,3.9591
s43_n500,15.7355
s44_n300,3.7000
s44_n400,5.6738
s44_n500,2.0021
s45_n300,9.8142
s45_n400,8.2073
s45_n500,20.3999
s46_n300,4.4408
s46_n400,5.2071
s46_n500,15.1060
s47_n300,2.9368
s47_n400,8.3919
s47_n500,9.4163
s48_n300,13.8456
s48_n400,2.6509
s48_n500,13.4063
s49_n300,3.5300
s49_n400,3.1752
s49_n500,2.1417
s50_n300,3.6051
s50_n400,11.5417
s50_n500,26.3901
s51_n300,2.7256
s51_n400,15.5719
s51_n500,19.6341
s52_n300,3.0979
s52_n400,3.3839
s52_n500,8.8543
s53_n300,4.5961
s53_n400,12.1000
s53_n500,8.2161
s54_n300,3.2563
s54_n400,8.1135
s54_n500,26.8541
s55_n300,4.0568
s55_n400,2.9984
s55_n500,2.4448
s56_n300,3.7723
s56_n400,7.4324
s56_n500,8.4436
s57_n300,2.5680
s57_n400,7.9207
s57_n500,20.2151
